ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
A0, flush_requests, 1, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, fence_requests, 1, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, no_ops, 1, Accumulator, 1821667360, 0, 134923, 134923, 134923, 1, 1
A0, instruction_count, 1, Accumulator, 1821667360, 0, 158065, 158065, 158065, 1, 1
A0, cycles, 1, Accumulator, 1821667360, 0, 4844859, 4844859, 4844859, 1, 1
A0, active_cycles, 1, Accumulator, 1821667360, 0, 85934, 85934, 85934, 1, 1
A0, fp_sp_ins, 1, Accumulator, 1821667360, 0, 11, 11, 11, 1, 1
A0, fp_dp_ins, 1, Accumulator, 1821667360, 0, 20, 20, 20, 1, 1
A0, fp_sp_simd_ins, 1, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 1, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 1, Accumulator, 1821667360, 0, 11, 11, 11, 1, 1
A0, fp_dp_scalar_ins, 1, Accumulator, 1821667360, 0, 20, 20, 20, 1, 1
A0, fp_sp_ops, 1, Accumulator, 1821667360, 0, 0, 0, 11, 0, 0
A0, fp_dp_ops, 1, Accumulator, 1821667360, 0, 0, 0, 20, 0, 0
A0, read_requests, 2, Accumulator, 1821667360, 0, 22453, 22453, 22453, 1, 1
A0, write_requests, 2, Accumulator, 1821667360, 0, 311, 311, 311, 1, 1
A0, read_request_sizes, 2, Accumulator, 1821667360, 0, 94170, 443752, 22453, 1, 64
A0, write_request_sizes, 2, Accumulator, 1821667360, 0, 3500, 47792, 311, 4, 64
A0, split_read_requests, 2, Accumulator, 1821667360, 0, 1, 1, 1, 1, 1
A0, split_write_requests, 2, Accumulator, 1821667360, 0, 1, 1, 1, 1, 1
A0, flush_requests, 2, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, fence_requests, 2, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, no_ops, 2, Accumulator, 1821667360, 0, 132618, 132618, 132618, 1, 1
A0, instruction_count, 2, Accumulator, 1821667360, 0, 155382, 155382, 155382, 1, 1
A0, cycles, 2, Accumulator, 1821667360, 0, 4844859, 4844859, 4844859, 1, 1
A0, active_cycles, 2, Accumulator, 1821667360, 0, 84589, 84589, 84589, 1, 1
A0, fp_sp_ins, 2, Accumulator, 1821667360, 0, 11, 11, 11, 1, 1
A0, fp_dp_ins, 2, Accumulator, 1821667360, 0, 20, 20, 20, 1, 1
A0, fp_sp_simd_ins, 2, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 2, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 2, Accumulator, 1821667360, 0, 11, 11, 11, 1, 1
A0, fp_dp_scalar_ins, 2, Accumulator, 1821667360, 0, 20, 20, 20, 1, 1
A0, fp_sp_ops, 2, Accumulator, 1821667360, 0, 0, 0, 11, 0, 0
A0, fp_dp_ops, 2, Accumulator, 1821667360, 0, 0, 0, 20, 0, 0
A0, read_requests, 3, Accumulator, 1821667360, 0, 22112, 22112, 22112, 1, 1
A0, write_requests, 3, Accumulator, 1821667360, 0, 307, 307, 307, 1, 1
A0, read_request_sizes, 3, Accumulator, 1821667360, 0, 92810, 438344, 22112, 1, 64
A0, write_request_sizes, 3, Accumulator, 1821667360, 0, 3484, 47728, 307, 4, 64
A0, split_read_requests, 3, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 3, Accumulator, 1821667360, 0, 1, 1, 1, 1, 1
A0, flush_requests, 3, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, fence_requests, 3, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, no_ops, 3, Accumulator, 1821667360, 0, 130585, 130585, 130585, 1, 1
A0, instruction_count, 3, Accumulator, 1821667360, 0, 153004, 153004, 153004, 1, 1
A0, cycles, 3, Accumulator, 1821667360, 0, 4844859, 4844859, 4844859, 1, 1
A0, active_cycles, 3, Accumulator, 1821667360, 0, 83407, 83407, 83407, 1, 1
A0, fp_sp_ins, 3, Accumulator, 1821667360, 0, 11, 11, 11, 1, 1
A0, fp_dp_ins, 3, Accumulator, 1821667360, 0, 20, 20, 20, 1, 1
A0, fp_sp_simd_ins, 3, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 3, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 3, Accumulator, 1821667360, 0, 11, 11, 11, 1, 1
A0, fp_dp_scalar_ins, 3, Accumulator, 1821667360, 0, 20, 20, 20, 1, 1
A0, fp_sp_ops, 3, Accumulator, 1821667360, 0, 0, 0, 11, 0, 0
A0, fp_dp_ops, 3, Accumulator, 1821667360, 0, 0, 0, 20, 0, 0
A0, read_requests, 4, Accumulator, 1821667360, 0, 21349, 21349, 21349, 1, 1
A0, write_requests, 4, Accumulator, 1821667360, 0, 307, 307, 307, 1, 1
A0, read_request_sizes, 4, Accumulator, 1821667360, 0, 89758, 426136, 21349, 1, 64
A0, write_request_sizes, 4, Accumulator, 1821667360, 0, 3484, 47728, 307, 4, 64
A0, split_read_requests, 4, Accumulator, 1821667360, 0, 1, 1, 1, 1, 1
A0, split_write_requests, 4, Accumulator, 1821667360, 0, 1, 1, 1, 1, 1
A0, flush_requests, 4, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, fence_requests, 4, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, no_ops, 4, Accumulator, 1821667360, 0, 126007, 126007, 126007, 1, 1
A0, instruction_count, 4, Accumulator, 1821667360, 0, 147663, 147663, 147663, 1, 1
A0, cycles, 4, Accumulator, 1821667360, 0, 4844859, 4844859, 4844859, 1, 1
A0, active_cycles, 4, Accumulator, 1821667360, 0, 80935, 80935, 80935, 1, 1
A0, fp_sp_ins, 4, Accumulator, 1821667360, 0, 11, 11, 11, 1, 1
A0, fp_dp_ins, 4, Accumulator, 1821667360, 0, 20, 20, 20, 1, 1
A0, fp_sp_simd_ins, 4, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 4, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 4, Accumulator, 1821667360, 0, 11, 11, 11, 1, 1
A0, fp_dp_scalar_ins, 4, Accumulator, 1821667360, 0, 20, 20, 20, 1, 1
A0, fp_sp_ops, 4, Accumulator, 1821667360, 0, 0, 0, 11, 0, 0
A0, fp_dp_ops, 4, Accumulator, 1821667360, 0, 0, 0, 20, 0, 0
A0, read_requests, 5, Accumulator, 1821667360, 0, 20995, 20995, 20995, 1, 1
A0, write_requests, 5, Accumulator, 1821667360, 0, 307, 307, 307, 1, 1
A0, read_request_sizes, 5, Accumulator, 1821667360, 0, 88342, 420472, 20995, 1, 64
A0, write_request_sizes, 5, Accumulator, 1821667360, 0, 3484, 47728, 307, 4, 64
A0, split_read_requests, 5, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 5, Accumulator, 1821667360, 0, 1, 1, 1, 1, 1
A0, flush_requests, 5, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, fence_requests, 5, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, no_ops, 5, Accumulator, 1821667360, 0, 123883, 123883, 123883, 1, 1
A0, instruction_count, 5, Accumulator, 1821667360, 0, 145185, 145185, 145185, 1, 1
A0, cycles, 5, Accumulator, 1821667360, 0, 4844859, 4844859, 4844859, 1, 1
A0, active_cycles, 5, Accumulator, 1821667360, 0, 79340, 79340, 79340, 1, 1
A0, fp_sp_ins, 5, Accumulator, 1821667360, 0, 11, 11, 11, 1, 1
A0, fp_dp_ins, 5, Accumulator, 1821667360, 0, 20, 20, 20, 1, 1
A0, fp_sp_simd_ins, 5, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 5, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 5, Accumulator, 1821667360, 0, 11, 11, 11, 1, 1
A0, fp_dp_scalar_ins, 5, Accumulator, 1821667360, 0, 20, 20, 20, 1, 1
A0, fp_sp_ops, 5, Accumulator, 1821667360, 0, 0, 0, 11, 0, 0
A0, fp_dp_ops, 5, Accumulator, 1821667360, 0, 0, 0, 20, 0, 0
A0, read_requests, 6, Accumulator, 1821667360, 0, 20563, 20563, 20563, 1, 1
A0, write_requests, 6, Accumulator, 1821667360, 0, 307, 307, 307, 1, 1
A0, read_request_sizes, 6, Accumulator, 1821667360, 0, 86614, 413560, 20563, 1, 64
A0, write_request_sizes, 6, Accumulator, 1821667360, 0, 3484, 47728, 307, 4, 64
A0, split_read_requests, 6, Accumulator, 1821667360, 0, 1, 1, 1, 1, 1
A0, split_write_requests, 6, Accumulator, 1821667360, 0, 1, 1, 1, 1, 1
A0, flush_requests, 6, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, fence_requests, 6, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, no_ops, 6, Accumulator, 1821667360, 0, 121291, 121291, 121291, 1, 1
A0, instruction_count, 6, Accumulator, 1821667360, 0, 142161, 142161, 142161, 1, 1
A0, cycles, 6, Accumulator, 1821667360, 0, 4844859, 4844859, 4844859, 1, 1
A0, active_cycles, 6, Accumulator, 1821667360, 0, 78010, 78010, 78010, 1, 1
A0, fp_sp_ins, 6, Accumulator, 1821667360, 0, 11, 11, 11, 1, 1
A0, fp_dp_ins, 6, Accumulator, 1821667360, 0, 20, 20, 20, 1, 1
A0, fp_sp_simd_ins, 6, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 6, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 6, Accumulator, 1821667360, 0, 11, 11, 11, 1, 1
A0, fp_dp_scalar_ins, 6, Accumulator, 1821667360, 0, 20, 20, 20, 1, 1
A0, fp_sp_ops, 6, Accumulator, 1821667360, 0, 0, 0, 11, 0, 0
A0, fp_dp_ops, 6, Accumulator, 1821667360, 0, 0, 0, 20, 0, 0
A0, read_requests, 7, Accumulator, 1821667360, 0, 19991, 19991, 19991, 1, 1
A0, write_requests, 7, Accumulator, 1821667360, 0, 307, 307, 307, 1, 1
A0, read_request_sizes, 7, Accumulator, 1821667360, 0, 84326, 404408, 19991, 1, 64
A0, write_request_sizes, 7, Accumulator, 1821667360, 0, 3484, 47728, 307, 4, 64
A0, split_read_requests, 7, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 7, Accumulator, 1821667360, 0, 1, 1, 1, 1, 1
A0, flush_requests, 7, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, fence_requests, 7, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
A0, no_ops, 7, Accumulator, 1821667360, 0, 117859, 117859, 117859, 1, 1
A0, instruction_count, 7, Accumulator, 1821667360, 0, 138157, 138157, 138157, 1, 1
A0, cycles, 7, Accumulator, 1821667360, 0, 4844859, 4844859, 4844859, 1, 1
A0, active_cycles, 7, Accumulator, 1821667360, 0, 75846, 75846, 75846, 1, 1
A0, fp_sp_ins, 7, Accumulator, 1821667360, 0, 11, 11, 11, 1, 1
A0, fp_dp_ins, 7, Accumulator, 1821667360, 0, 20, 20, 20, 1, 1
A0, fp_sp_simd_ins, 7, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
